ManufacturerId is 0x35393738333300
DAL version is 1.2.0.6
DAL device is activated
Instance state changed, now Starting
Instance state changed, now Running

Socket Descriptor validation: ProtocolArcp config=30440 actual=30440
677137.191360800: control=0 audio=1447 late=0 nonSeq=0
ProtocolArcpLocal config=30441 actual=30441
ProtocolDbcp config=30455 actual=30455
ProtocolCmcp config=34800 actual=34800
ProtocolConmonChannels config=34700 actual=34700
ProtocolConmonClient config=34900 actual=34900
ProtocolDomainClientProxy config=34001 actual=34001
ProtocolAudioBase config=30336 actual=30336
ProtocolWebSocket config=0 actual=60489
ProtocolMdnsClient config=34002 actual=34002
677475.13822600: control=23816 audio=1323 late=0 nonSeq=0
677476.832200: control=23548 audio=1539 late=0 nonSeq=0
677477.9865500: control=24046 audio=1051 late=0 nonSeq=0
677478.14843700: control=26886 audio=933 late=0 nonSeq=0
677479.14847000: control=24162 audio=1270 late=0 nonSeq=0
677480.3378700: control=24133 audio=1195 late=0 nonSeq=0
677481.6349600: control=23857 audio=1147 late=0 nonSeq=0
677482.2904900: control=23752 audio=1284 late=0 nonSeq=0
677483.8327700: control=24096 audio=913 late=0 nonSeq=0
677484.9831200: control=23988 audio=902 late=0 nonSeq=0
677485.9828100: control=23675 audio=1012 late=0 nonSeq=0
677486.19328700: control=23962 audio=1078 late=0 nonSeq=0
677487.2813900: control=23967 audio=1240 late=0 nonSeq=0
677488.4880900: control=23448 audio=1134 late=0 nonSeq=0
677489.2359600: control=23958 audio=1361 late=0 nonSeq=0
677490.14404700: control=24025 audio=1155 late=0 nonSeq=0
677491.6351800: control=24982 audio=1149 late=0 nonSeq=0
677492.6846900: control=24205 audio=1447 late=0 nonSeq=0
677493.3399900: control=23766 audio=1105 late=0 nonSeq=0
677494.20851200: control=23483 audio=1132 late=0 nonSeq=0
677495.11369400: control=23995 audio=1398 late=0 nonSeq=0
677496.13911700: control=24161 audio=1265 late=0 nonSeq=0
677497.12311000: control=23882 audio=1210 late=0 nonSeq=0
677498.11313000: control=23563 audio=1334 late=0 nonSeq=0
677499.14871500: control=23594 audio=1645 late=0 nonSeq=0
677500.17320100: control=23812 audio=1013 late=0 nonSeq=0
677501.16858000: control=23988 audio=1118 late=0 nonSeq=0
677502.13884100: control=23704 audio=1047 late=0 nonSeq=0
677503.9338800: control=23609 audio=1152 late=0 nonSeq=0
677504.8418200: control=24103 audio=1012 late=0 nonSeq=0
677505.4846000: control=23973 audio=1387 late=0 nonSeq=0
677506.1353300: control=23435 audio=977 late=0 nonSeq=0
677507.1397500: control=24275 audio=1038 late=0 nonSeq=0
677508.4829200: control=24399 audio=1358 late=0 nonSeq=0
677509.5322200: control=23716 audio=1074 late=0 nonSeq=0
677510.8059800: control=24055 audio=1501 late=0 nonSeq=0
677511.3324700: control=23317 audio=1191 late=0 nonSeq=0
677512.5344300: control=23835 audio=1000 late=0 nonSeq=0
677513.4327100: control=23090 audio=1349 late=0 nonSeq=0
677514.11861300: control=24392 audio=1065 late=0 nonSeq=0
677515.3336900: control=24070 audio=1428 late=0 nonSeq=0
677516.3350900: control=23540 audio=1571 late=0 nonSeq=0
677517.10875400: control=23861 audio=1519 late=0 nonSeq=0
677518.13377700: control=23276 audio=1471 late=0 nonSeq=0
677519.13852900: control=24145 audio=1605 late=0 nonSeq=0
677520.16888500: control=23521 audio=1177 late=0 nonSeq=0
677521.20369800: control=24037 audio=1293 late=0 nonSeq=0
677522.4379500: control=23629 audio=1176 late=0 nonSeq=0
677523.4355200: control=24076 audio=1769 late=0 nonSeq=0
677524.10346800: control=23440 audio=1141 late=0 nonSeq=0
677525.10110200: control=23900 audio=1159 late=0 nonSeq=0
677526.17865100: control=23783 audio=1283 late=0 nonSeq=0
677527.9930400: control=23458 audio=825 late=0 nonSeq=0
677528.10871300: control=23870 audio=1877 late=0 nonSeq=0
677529.3367900: control=23395 audio=1658 late=0 nonSeq=0
677530.8388400: control=23924 audio=979 late=0 nonSeq=0
677531.9393700: control=23897 audio=948 late=0 nonSeq=0
677532.18582800: control=24379 audio=1142 late=0 nonSeq=0
677533.18312600: control=24681 audio=975 late=0 nonSeq=0
677534.215400600: control=62601 audio=4937 late=0 nonSeq=0
677535.19810200: control=268008 audio=4152 late=0 nonSeq=0
